t_n,x_n,y_n,z_n,dx_n,dy_n,dz_n
0.490088, 1.01582678, -0.00500757, -0.00252660, -0.01506412, 0.00474190, -0.00033994
0.502655, 1.01563525, -0.00494348, -0.00252961, -0.01542229, 0.00546057, -0.00013765
0.515221, 1.01543912, -0.00487026, -0.00253003, -0.01579558, 0.00619629, 0.00007122
0.527788, 1.01523819, -0.00478768, -0.00252779, -0.01618594, 0.00694955, 0.00028702
0.540354, 1.01503224, -0.00469552, -0.00252279, -0.01659552, 0.00772087, 0.00051017
0.552920, 1.01482101, -0.00459356, -0.00251493, -0.01702675, 0.00851081, 0.00074112
0.565487, 1.01460421, -0.00448154, -0.00250413, -0.01748236, 0.00931999, 0.00098038
0.578053, 1.01438151, -0.00435924, -0.00249026, -0.01796543, 0.01014905, 0.00122850
0.590619, 1.01415256, -0.00422638, -0.00247321, -0.01847945, 0.01099864, 0.00148613
0.603186, 1.01391693, -0.00408272, -0.00245286, -0.01902838, 0.01186949, 0.00175399
0.615752, 1.01367416, -0.00392798, -0.00242908, -0.01961676, 0.01276230, 0.00203287
0.628319, 1.01342372, -0.00376187, -0.00240172, -0.02024975, 0.01367782, 0.00232372
0.640885, 1.01316501, -0.00358412, -0.00237063, -0.02093334, 0.01461675, 0.00262756
0.653451, 1.01289737, -0.00339441, -0.00233562, -0.02167443, 0.01557978, 0.00294562
0.666018, 1.01262000, -0.00319245, -0.00229653, -0.02248106, 0.01656750, 0.00327926
0.678584, 1.01233204, -0.00297792, -0.00225313, -0.02336265, 0.01758039, 0.00363009
0.691150, 1.01203247, -0.00275050, -0.00220521, -0.02433027, 0.01861870, 0.00399997
0.703717, 1.01172014, -0.00250988, -0.00215252, -0.02539709, 0.01968231, 0.00439108
0.716283, 1.01139370, -0.00225573, -0.00209476, -0.02657884, 0.02077062, 0.00480597
0.728849, 1.01105158, -0.00198776, -0.00203162, -0.02789453, 0.02188223, 0.00524768
0.741416, 1.01069197, -0.00170568, -0.00196274, -0.02936725, 0.02301455, 0.00571985
0.753982, 1.01031272, -0.00140927, -0.00188771, -0.03102548, 0.02416323, 0.00622685
0.766549, 1.00991129, -0.00109835, -0.00180607, -0.03290461, 0.02532125, 0.00677401
0.779115, 1.00948463, -0.00077288, -0.00171727, -0.03504928, 0.02647743, 0.00736787
0.791681, 1.00902906, -0.00043298, -0.00162067, -0.03751657, 0.02761420, 0.00801651
0.804248, 1.00854008, -0.00007906, -0.00151552, -0.04038054, 0.02870378, 0.00873008
0.816814, 1.00801212, 0.00028804, -0.00140093, -0.04373900, 0.02970173, 0.00952137
0.829380, 1.00743818, 0.00066675, -0.00127583, -0.04772347, 0.03053573, 0.01040660
0.841947, 1.00680933, 0.00105431, -0.00113891, -0.05251403, 0.03108477, 0.01140631
0.854513, 1.00611395, 0.00144594, -0.00098857, -0.05836136, 0.03113945, 0.01254593
0.867080, 1.00533667, 0.00183331, -0.00082289, -0.06561730, 0.03032116, 0.01385454
0.879646, 1.00445690, 0.00220142, -0.00063956, -0.07476599, 0.02790855, 0.01535644
0.892212, 1.00344718, 0.00252216, -0.00043618, -0.08639671, 0.02244511, 0.01703528
0.904779, 1.00227363, 0.00274030, -0.00021141, -0.10080302, 0.01085453, 0.01869465
0.917345, 1.00091016, 0.00274393, 0.00003016, -0.11574306, -0.01302800, 0.01945229
0.929911, 0.99941213, 0.00233130, 0.00026260, -0.11871115, -0.05560939, 0.01660529
0.935504, 0.99876943, 0.00195858, 0.00034682, -0.10985835, -0.07746240, 0.01330203
NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.000000, 1.02046170, -0.00231677, 0.00076232, -0.01236354, -0.00635653, 0.00099428
0.012566, 1.02030542, -0.00239416, 0.00077458, -0.01251028, -0.00595957, 0.00095710
