bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
5,2,26.9,48.2,75.3
4,2,19.3,-113.7,58.4
3,2,-0.5,-36.7,24.3
5,2,31.3,44.6,78.1
3,2,-0.5,-23.5,21.8
5,2,35.3,60.4,75.7
3,2,1.6,-22.5,25.6
5,2,21.4,40.9,62.2
5,2,38.2,69.1,74.7
5,2,-33.6,-90.1,67.4
4,2,-2.0,-78.6,43.2
5,2,41.3,40.4,81.9
5,2,41.3,73.0,75.5
4,2,0.7,-135.8,57.2
5,2,34.7,49.1,74.5
5,2,47.7,51.3,86.1
5,2,44.4,78.5,77.0
4,2,24.2,164.5,49.6
5,2,20.3,-99.5,60.9
5,2,40.2,-90.4,73.3
4,2,10.7,170.6,43.7
5,2,44.3,95.3,79.6
5,2,46.1,93.8,79.6
5,2,40.6,117.4,70.0
4,2,18.2,-71.9,54.9
4,2,-28.2,156.0,42.9
4,2,-31.5,82.6,55.5
5,2,18.7,134.8,60.0
3,2,3.7,-36.9,37.7
3,2,0.3,-52.2,35.1
4,2,-5.4,98.0,50.3
4,2,-5.3,126.6,45.7
4,2,31.7,73.5,54.3
4,2,-9.8,101.2,44.9
4,2,1.2,112.7,45.5
3,2,-4.3,142.1,32.9
4,2,-35.9,-63.6,56.3
5,2,6.0,64.2,63.5
5,2,19.7,78.0,68.0
5,2,23.0,95.1,66.6
4,2,19.1,115.1,59.0
4,2,5.4,145.6,40.5
4,2,15.9,88.6,58.8
4,2,14.7,-83.8,54.3
3,2,-23.8,-54.6,33.2
5,2,2.5,39.1,69.2
5,2,23.9,52.6,77.2
5,2,32.4,67.5,79.7
5,2,34.6,81.2,78.2
5,2,32.9,94.5,74.1
5,2,27.7,110.2,66.6
4,2,16.2,135.0,51.9
4,2,-28.0,-97.2,51.3
5,2,10.7,28.2,74.9
5,2,30.5,42.7,83.7
5,2,38.0,56.3,85.6
5,2,40.3,67.5,84.6
5,2,40.0,76.8,82.1
5,2,37.9,85.6,78.4
5,2,34.1,96.5,73.0
