bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,4,19.1,-66.9,55.9
4,4,19.4,-68.6,56.3
4,4,19.2,-71.0,56.0
4,4,18.2,-74.2,55.0
4,4,16.1,-78.1,52.7
4,4,11.7,-82.0,47.8
3,4,2.9,-83.7,37.7
2,4,-16.5,-65.6,17.0
5,4,-51.4,88.2,82.7
5,4,12.3,68.6,66.8
2,4,-11.8,-40.5,16.8
3,4,1.9,-56.4,35.9
4,4,8.4,-60.4,44.0
4,4,12.6,-62.3,48.8
4,4,15.3,-63.5,51.8
4,4,17.1,-64.6,53.8
4,4,18.1,-65.9,54.9
4,4,18.6,-67.6,55.4
4,4,18.5,-69.9,55.3
4,4,17.7,-72.9,54.4
4,4,15.6,-76.6,52.1
4,4,11.4,-80.3,47.3
3,4,2.7,-81.8,37.2
2,4,-16.9,-62.5,15.8
5,4,-51.2,87.4,82.2
5,4,8.9,64.9,65.9
5,4,20.5,82.2,68.4
3,4,-0.9,-53.5,32.4
4,4,6.6,-59.0,41.9
4,4,11.1,-61.5,47.2
4,4,14.1,-63.1,50.5
4,4,15.9,-64.6,52.5
4,4,16.9,-66.2,53.6
4,4,17.2,-68.3,53.9
4,4,16.6,-71.0,53.3
4,4,14.9,-74.3,51.3
4,4,11.1,-77.8,46.9
3,4,3.2,-79.5,37.6
2,4,-14.7,-64.7,16.6
5,4,-48.7,76.7,78.4
5,4,2.6,60.4,64.4
5,4,17.6,76.9,67.8
3,4,-5.9,-48.2,25.7
3,4,3.5,-57.1,38.1
4,4,8.7,-60.6,44.4
4,4,11.8,-62.8,48.1
4,4,13.7,-64.7,50.1
4,4,14.5,-66.7,51.0
4,4,14.4,-69.2,50.8
4,4,13.0,-72.1,49.1
4,4,9.5,-75.2,44.9
3,4,2.0,-76.3,35.9
2,4,-15.2,-60.7,15.1
5,4,-45.8,71.5,75.4
5,4,-8.1,56.1,62.7
5,4,12.7,70.6,66.4
5,4,21.0,86.6,67.7
3,4,-0.2,-55.0,33.3
4,4,5.6,-60.0,40.7
4,4,8.8,-63.0,44.5
4,4,10.3,-65.5,46.1
4,4,10.2,-68.2,45.9
4,4,8.1,-70.9,43.3
3,4,2.8,-72.5,36.6
3,4,-9.8,-65.4,20.5
5,4,-28.9,60.9,65.1
4,4,-18.2,70.3,52.1
5,4,-25.5,56.4,64.1
5,4,3.7,63.2,64.0
5,4,16.1,77.8,66.5
3,4,-7.1,-49.5,23.8
3,4,0.1,-58.1,33.5
3,4,3.0,-62.3,37.1
3,4,3.1,-65.2,37.1
3,4,-0.2,-66.6,32.7
3,4,-9.7,-61.2,20.0
5,4,-17.1,61.2,61.7
5,4,-44.7,119.4,77.3
5,4,-44.8,82.5,72.4
5,4,-12.7,57.1,62.0
5,4,5.9,66.9,63.9
5,4,12.9,76.3,65.0
2,4,-12.9,-45.3,14.7
2,4,-11.2,-51.3,17.3
5,4,5.0,72.1,62.2
5,4,-13.0,61.4,61.2
5,4,-48.5,85.1,77.4
5,4,-45.5,105.2,72.7
5,4,-24.4,58.1,63.3
5,4,-8.6,60.0,61.6
5,4,-6.1,61.9,61.5
5,4,-15.3,59.8,61.6
5,4,-41.1,68.6,70.8
2,4,19.7,-26.6,17.7
5,4,-45.0,112.9,73.1
5,4,-46.8,88.9,74.5
5,3,-28.8,-131.8,68.8
5,3,-32.9,-93.6,61.8
5,3,-32.5,-97.2,61.7
5,3,-36.7,-126.9,73.4
5,3,-33.7,-99.5,64.4
3,3,-22.9,-50.2,39.9
3,3,-21.2,-44.4,35.6
4,3,-23.7,-74.8,45.6
5,3,-36.8,-122.6,70.9
4,3,-14.5,-123.2,51.5
4,3,-23.6,-60.6,42.5
3,3,-18.0,-17.9,27.7
3,3,-18.6,-32.5,28.5
4,3,-20.7,-75.7,42.8
5,3,-37.3,-126.5,71.4
4,3,-25.3,-81.3,49.3
3,3,-19.3,-47.2,32.5
3,3,-18.3,-55.0,33.4
4,3,-21.1,-91.4,48.3
4,3,-20.4,-104.1,52.3
5,3,-30.0,-107.8,60.4
4,3,-24.3,-99.2,53.0
5,3,-32.3,-120.4,64.8
3,3,14.0,-107.5,35.1
5,3,-21.6,-97.4,62.5
5,3,-29.8,-45.5,61.0
4,3,-10.6,-18.0,44.9
3,3,-1.1,-68.1,38.3
4,3,9.7,-39.6,42.5
3,3,6.1,176.3,21.2
3,3,2.1,-174.2,26.3
3,3,16.0,-59.5,32.1
3,3,-24.8,-36.6,38.6
4,3,-11.4,-67.8,48.3
3,3,-18.4,159.4,24.2
4,3,-1.8,80.7,52.9
4,3,4.4,77.9,56.2
4,3,4.9,108.0,46.2
4,3,-21.5,142.3,51.3
5,3,-27.6,30.0,74.3
4,3,-27.7,-82.6,49.5
4,3,-17.2,-33.5,47.1
5,3,-13.2,52.1,62.1
5,3,-32.3,36.0,65.7
5,3,-29.5,37.4,61.5
5,3,-10.1,27.2,64.8
5,3,10.1,45.6,68.6
4,3,13.8,100.6,54.2
3,3,4.0,-28.8,22.8
5,3,-40.0,-117.4,71.8
3,3,-17.8,157.1,25.8
5,3,-38.7,-145.4,85.7
5,3,7.1,29.3,69.9
5,3,20.1,90.1,61.4
4,3,-2.1,-120.9,57.5
4,3,-2.3,-117.4,57.0
2,3,-16.3,-13.9,16.5
4,3,-9.6,87.8,49.2
5,3,14.2,30.2,72.7
4,3,20.8,109.9,56.6
4,3,31.0,-86.3,58.6
3,3,-8.7,-62.9,31.4
5,3,23.0,36.0,76.4
4,3,18.6,131.9,50.0
4,3,-4.1,-84.6,41.4
5,3,34.1,-122.5,63.2
5,3,30.5,45.2,78.9
4,3,15.3,151.0,44.4
5,3,-34.1,83.5,64.6
4,3,-1.0,-95.9,46.7
4,3,-28.0,-60.9,51.7
4,3,-7.4,43.6,45.5
5,3,36.0,56.3,80.0
4,3,13.3,162.8,42.1
5,3,-35.5,76.6,66.5
4,3,2.2,-97.3,48.4
3,3,20.2,118.9,39.7
5,3,13.3,42.0,70.5
5,3,23.6,31.6,73.7
5,3,39.2,70.2,79.4
4,3,13.4,167.4,43.0
3,3,23.2,-59.2,39.1
4,3,5.5,-87.7,46.9
2,3,13.2,-4.0,9.0
5,3,31.3,70.8,74.6
5,3,34.9,54.3,80.3
5,3,39.4,70.9,80.1
5,3,34.3,114.2,68.2
4,3,-31.3,96.6,55.3
3,3,22.5,-16.0,30.0
4,3,5.6,-92.8,48.6
3,3,-22.4,-27.8,31.6
5,3,-36.3,91.3,61.4
